Manufacturer,Model,Code (ICAO),Classes,Engines
Boeing,Boeing 707-100,B701,M/D,L4J
Boeing,Boeing 707-300,B703,H/C,L4J
Boeing,Boeing 717-200,B712,M/E,L2J
Boeing,Boeing 717-200 BusinessExpress,B712,M/E,L2J
Boeing,Boeing 720,B720,M/D,L4J
Boeing,Boeing 727-100,B721,M/D,L3J
Boeing,Boeing 727-100 RE Super27,R721,M/D,L3J
Boeing,Boeing 727-200,B722,M/D,L3J
Boeing,Boeing 727-200 RE Super27,R722,M/D,L3J
Boeing,Boeing 737 MAX 10,B3XM,M/D,L2J
Boeing,Boeing 737 MAX 7,B37M,M/D,L2J
Boeing,Boeing 737 MAX 7 BBJ,B37M,M/D,L2J
Boeing,Boeing 737 MAX 8,B38M,M/D,L2J
Boeing,Boeing 737 MAX 8 BBJ,B38M,M/D,L2J
Boeing,Boeing 737 MAX 8 200,B38M,M/D,L2J
Boeing,Boeing 737 MAX 9,B39M,M/D,L2J
Boeing,Boeing 737 MAX 9 BBJ,B39M,M/D,L2J
Boeing,Boeing 737-10,B3XM,M/D,L2J
Boeing,Boeing 737-200,B732,M/E,L2J
Boeing,Boeing 737-200 Surveiller,B732,M/E,L2J
Boeing,Boeing 737-300,B733,M/E,L2J
Boeing,Boeing 737-400,B734,M/E,L2J
Boeing,Boeing 737-500,B735,M/E,L2J
Boeing,Boeing 737-600,B736,M/D,L2J
Boeing,Boeing 737-7,B37M,M/D,L2J
Boeing,Boeing 737-700,B737,M/D,L2J
Boeing,Boeing 737-700 AEW&C,E737,M/D,L2J
Boeing,Boeing 737-700 BBJ,B737,M/D,L2J
Boeing,Boeing 737-700 Wedgetail,E737,M/D,L2J
Boeing,Boeing 737-8,B38M,M/D,L2J
Boeing,Boeing 737-800,B738,M/D,L2J
Boeing,Boeing 737-800 BBJ2,B738,M/D,L2J
Boeing,Boeing 737-800 Poseidon,P8,M/D,L2J
Boeing,Boeing 737-8200,B38M,M/D,L2J
Boeing,Boeing 737-9,B39M,M/D,L2J
Boeing,Boeing 737-900,B739,M/D,L2J
Boeing,Boeing 737-900 BBJ3,B739,M/D,L2J
Boeing,Boeing 747-100,B741,H/B,L4J
Boeing,Boeing 747-200,B742,H/B,L4J
Boeing,Boeing 747-300,B743,H/B,L4J
Boeing,Boeing 747-400,B744,H/B,L4J
Boeing,Boeing 747-400 LCF Dreamlifter,BLCF,H/B,L4J
Boeing,Boeing 747-8,B748,H/B,L4J
Boeing,Boeing 747-8 BBJ,B748,H/B,L4J
Boeing,Boeing 747SP,B74S,H/B,L4J
Boeing,Boeing 747SR,B74R,H/B,L4J
Boeing,Boeing 75 Kaydet,ST75,L/G,L1P
Boeing,Boeing 757-200,B752,M/D,L2J
Boeing,Boeing 757-300,B753,M/D,L2J
Boeing,Boeing 767-200,B762,H/C,L2J
Boeing,Boeing 767-300,B763,H/C,L2J
Boeing,Boeing 767-400,B764,H/C,L2J
Boeing,Boeing 777-200,B772,H/B,L2J
Boeing,Boeing 777-200ER,B772,H/B,L2J
Boeing,Boeing 777-200LR,B77L,H/B,L2J
Boeing,Boeing 777-200LR BBJ,B77L,H/B,L2J
Boeing,Boeing 777-300,B773,H/B,L2J
Boeing,Boeing 777-300ER,B77W,H/B,L2J
Boeing,Boeing 777-300ER BBJ,B77W,H/B,L2J
Boeing,Boeing 777-8,B778,H/B,L2J
Boeing,Boeing 777-9,B779,H/B,L2J
Boeing,Boeing 777-F,B77L,H/B,L2J
Boeing,Boeing 787-10 Dreamliner,B78X,H/B,L2J
Boeing,Boeing 787-8 BBJ,B788,H/B,L2J
Boeing,Boeing 787-8 Dreamliner,B788,H/B,L2J
Boeing,Boeing 787-9 BBJ,B789,H/B,L2J
Boeing,Boeing 787-9 Dreamliner,B789,H/B,L2J
Boeing,AH-64 Longbow Apache,H64,M/G,H2T
Boeing,AH-64 Saraf,H64,M/G,H2T
Boeing,AV-8 Harrier,HAR,M/G,L1J
Boeing,B-17 Flying Fortress,B17,M/E,L4P
Boeing,B-29 Superfortress,B29,M/D,L4P
Boeing,B-52 Stratofortress,B52,H/B,L8J
Boeing,C-135FR Stratotanker,K35R,H/C,L4J
Airbus,Airbus A220-100,BCS1,M/D,L2J
Airbus,Airbus A220-100 Airbus ACJ TwoTwenty,BCS1,M/D,L2J
Airbus,Airbus A220-300,BCS3,M/D,L2J
Airbus,Airbus A300B2,A30B,H/C,L2J
Airbus,Airbus A300B2-1,A30B,H/C,L2J
Airbus,Airbus A300B2-100,A30B,H/C,L2J
Airbus,Airbus A300B2-200,A30B,H/C,L2J
Airbus,Airbus A300B2K-3,A30B,H/C,L2J
Airbus,Airbus A300B4-100,A30B,H/C,L2J
Airbus,Airbus A300B4-200,A30B,H/C,L2J
Airbus,Airbus A300B4-600,A30B,H/C,L2J
Airbus,Airbus A300C4-200,A30B,H/C,L2J
Airbus,Airbus A300C4-600,A30B,H/C,L2J
Airbus,Airbus A300F4-200,A30B,H/C,L2J
Airbus,Airbus A300F4-600,A30B,H/C,L2J
Airbus,Airbus A300ST BelugAirbus A,A3ST,H/C,L2J
Airbus,Airbus A300ST Super TrAirbus Ansporter,A3ST,H/C,L2J
Airbus,Airbus A310,A310,H/C,L2J
Airbus,Airbus A318,A318,M/D,L2J
Airbus,Airbus A318 Elite,A318,M/D,L2J
Airbus,Airbus A319,A319,M/D,L2J
Airbus,Airbus A319 Airbus ACJ,A319,M/D,L2J
Airbus,Airbus A319neo,A19N,M/D,L2J
Airbus,Airbus A320,A320,M/D,L2J
Airbus,Airbus A320 Prestige,A320,M/D,L2J
Airbus,Airbus A320neo,A20N,M/D,L2J
Airbus,Airbus A321,A321,M/D,L2J
Airbus,Airbus A321neo,A21N,M/D,L2J
Airbus,Airbus A330-200,A332,H/B,L2J
Airbus,Airbus A330-200 Prestige,A332,H/B,L2J
Airbus,Airbus A330-300,A333,H/B,L2J
Airbus,Airbus A330-700 BelugAirbus A XL,A337,H/B,L2J
Airbus,Airbus A330-800,A338,H/B,L2J
Airbus,Airbus A330-900,A339,H/B,L2J
Airbus,Airbus A330-MRTT,A332,H/,L2J
Airbus,Airbus A330-MRTT Phénix,A332,H/,L2J
Airbus,Airbus A330-MRTT VoyAger,A332,H/,L2J
Airbus,Airbus A340-200,A342,H/B,L4J
Airbus,Airbus A340-200 Prestige,A342,H/B,L4J
Airbus,Airbus A340-300,A343,H/B,L4J
Airbus,Airbus A340-300 Prestige,A343,H/B,L4J
Airbus,Airbus A340-500,A345,H/B,L4J
Airbus,Airbus A340-500 Prestige,A345,H/B,L4J
Airbus,Airbus A340-600,A346,H/B,L4J
Airbus,Airbus A340-600 Prestige,A346,H/B,L4J
Airbus,Airbus A350-1000 XWB,A35K,H/B,L2J
Airbus,Airbus A350-1000 XWB Prestige,A35K,H/B,L2J
Airbus,Airbus A350-900 XWB,A359,H/B,L2J
Airbus,Airbus A350-900 XWB Prestige,A359,H/B,L2J
Airbus,Airbus A380-800,A388,J/A,L4J
Airbus,Airbus A380-800 Prestige,A388,J/A,L4J
Airbus,Airbus A400M Airbus AtlAirbus As,A400,H/C,L4T
Airbus,Airbus A400M Grizzly,A400,H/C,L4T
Airbus,ACJ-319neo,A19N,M/D,L2J
Airbus,ACJ-320neo,A20N,M/D,L2J
Airbus,ACJ-330-800,A338,H/B,L2J
Airbus,ACJ-330-900,A339,H/B,L2J
Airbus,ACJ-350-1000,A35K,H/B,L2J
Airbus,ACJ-350-900,A359,H/B,L2J
Airbus,C-212,C212,M/G,L2T
Airbus,C-295,C295,M/F,L2T
Airbus,C-295 Persuader,C295,M/F,L2T
Airbus,CC-150 Polaris,A310,H/C,L2J
Airbus,CN-235,CN35,M/G,L2T
Airbus,CN-235 Persuader,CN35,M/G,L2T
Airbus,E-Fan,EFAN,L/G,L2E
Airbus,HC-144 Ocean Sentry,CN35,M/G,L2T
Airbus,KC-30,A332,H/B,L2J
Airbus,KC-330 Cygnus,A332,H/,L2J
Airbus,SC-105 Amazonas,C295,M/F,L2T
Airbus,VC-1 ACJ,A319,M/D,L2J
Airbus Helicopters,AS-332C Super Puma,AS32,M/G,H2T
Airbus Helicopters,AS-332L1 Super Puma,AS32,M/G,H2T
Airbus Helicopters,AS-350 Ecureuil,AS50,L/G,H1T
Airbus Helicopters,AS-350 SuperStar,AS50,L/G,H1T
Airbus Helicopters,AS-355 Ecureuil 2,AS55,L/G,H2T
Airbus Helicopters,AS-365 Dauphin 2,AS65,L/G,H2T
Airbus Helicopters,AS-532AL Cougar,AS32,M/G,H2T
Airbus Helicopters,AS-550 Fennec,AS50,L/G,H1T
Airbus Helicopters,AS-565 Panther,AS65,L/G,H2T
Airbus Helicopters,EC-120 Colibri,EC20,L/G,H1T
Airbus Helicopters,EC-130,EC30,L/G,H1T
Airbus Helicopters,EC-135,EC35,L/G,H2T
Airbus Helicopters,EC-135 Bluecopter,EC35,L/G,H2T
Airbus Helicopters,EC-155,EC55,L/G,H2T
Airbus Helicopters,EC-225 Super Puma Mk2+,EC25,M/G,H2T
